#BLTrackFile File generated by X_BOA
#x y z Px Py Pz t PDGid EvNum TrkId Parent weight
0.0 0.0 0.0 0.0 0.0 59.69007428397432 0.0 -13 1 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.895815483933134 0.0 -13 2 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 64.0445078114886 0.0 -13 3 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 66.14171140218967 0.0 -13 4 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 68.19217692378852 0.0 -13 5 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 0.0 -13 6 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 72.1687398143734 0.0 -13 7 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 74.10151154186705 0.0 -13 8 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 76.00105932935527 0.0 -13 9 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 77.86981459833396 0.0 -13 10 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 79.70994311861995 0.0 -13 11 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 -8.43862320513674 -13 12 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 -6.7508985641093915 -13 13 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 -5.063173923082044 -13 14 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 -3.3754492820546957 -13 15 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 -1.6877246410273479 -13 16 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 0.0 -13 17 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 1.6877246410273479 -13 18 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 3.3754492820546957 -13 19 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 5.063173923082044 -13 20 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 6.7508985641093915 -13 21 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 8.43862320513674 -13 22 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 -25.0 -13 23 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 0.0 -13 24 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 70.20000000000002 25.0 -13 25 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.483844755371365 -4.607720020674744 -13 26 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 60.72795704268181 -3.5615325234920916 -13 27 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 60.10125415736652 -2.270239494619488 -13 28 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 59.73821610523133 -0.782330458842068 -13 29 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 59.73821610523133 0.7823304588420673 -13 30 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 60.10125415736652 2.270239494619488 -13 31 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 60.72795704268181 3.561532523492091 -13 32 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.483844755371365 4.607720020674744 -13 33 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 62.56022099718044 -5.6879590777910245 -13 34 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.483844755371365 -4.607720020674743 -13 35 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 60.45433965461853 -3.073356927752599 -13 36 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 59.78382478310924 -1.090771887243919 -13 37 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 59.78382478310924 1.090771887243918 -13 38 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 60.45433965461853 3.073356927752599 -13 39 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.483844755371365 4.607720020674743 -13 40 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 62.56022099718044 5.6879590777910245 -13 41 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 64.57957160410774 -7.0508694880659295 -13 42 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 63.22057279985621 -6.2084590401559305 -13 43 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.483844755371365 -4.607720020674744 -13 44 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 59.944563793015966 -1.7915406646404743 -13 45 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 59.944563793015966 1.7915406646404728 -13 46 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 61.483844755371365 4.607720020674744 -13 47 0 0 1.0 
0.0 0.0 0.0 0.0 0.0 63.22057279985621 6.20845904015593 -13 48 0 0 1.0 
